AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,AL,Alabama,00-0000,All Occupations,total,"1,857,530",0.4,1000.000,1.00,19.66,"40,890",0.5,8.30,9.72,14.83,23.95,36.04,"17,260","20,220","30,850","49,810","74,950",,
02,AK,Alaska,00-0000,All Occupations,total,"324,970",1.4,1000.000,1.00,25.98,"54,040",1.3,10.36,14.43,21.73,33.14,45.57,"21,560","30,010","45,200","68,930","94,790",,
04,AZ,Arizona,00-0000,All Occupations,total,"2,526,990",0.8,1000.000,1.00,21.43,"44,580",0.8,8.83,10.90,16.46,26.06,40.17,"18,360","22,680","34,230","54,200","83,550",,
05,AR,Arkansas,00-0000,All Occupations,total,"1,158,790",0.7,1000.000,1.00,18.24,"37,940",1.3,8.23,9.49,14.01,21.66,32.55,"17,120","19,740","29,140","45,050","67,700",,
06,CA,California,00-0000,All Occupations,total,"15,119,730",0.3,1000.000,1.00,25.91,"53,890",0.4,9.15,11.68,18.84,32.79,51.68,"19,040","24,290","39,190","68,190","107,490",,
08,CO,Colorado,00-0000,All Occupations,total,"2,367,780",0.4,1000.000,1.00,23.97,"49,860",0.6,9.07,11.86,18.28,29.33,45.31,"18,860","24,660","38,020","61,020","94,250",,
09,CT,Connecticut,00-0000,All Occupations,total,"1,646,510",0.5,1000.000,1.00,26.47,"55,060",0.9,9.45,12.89,20.67,33.16,48.08,"19,660","26,810","42,990","68,970","100,000",,
10,DE,Delaware,00-0000,All Occupations,total,"424,330",1.3,1000.000,1.00,23.81,"49,520",1.2,8.98,11.63,18.03,29.31,44.82,"18,670","24,190","37,490","60,960","93,220",,
11,DC,District of Columbia,00-0000,All Occupations,total,"674,650",0.6,1000.000,1.00,37.78,"78,580",6.9,11.42,18.00,31.20,51.09,72.11,"23,760","37,440","64,890","106,270","150,000",,
12,FL,Florida,00-0000,All Occupations,total,"7,665,280",0.3,1000.000,1.00,20.11,"41,820",0.4,8.69,10.22,14.93,23.63,36.56,"18,080","21,260","31,060","49,140","76,040",,
13,GA,Georgia,00-0000,All Occupations,total,"3,983,250",0.4,1000.000,1.00,21.48,"44,670",0.6,8.40,10.22,15.79,26.12,40.57,"17,470","21,260","32,840","54,340","84,370",,
15,HI,Hawaii,00-0000,All Occupations,total,"612,580",0.9,1000.000,1.00,22.23,"46,230",2.1,9.03,12.19,18.01,27.37,40.44,"18,780","25,350","37,450","56,930","84,120",,
16,ID,Idaho,00-0000,All Occupations,total,"628,140",0.9,1000.000,1.00,19.12,"39,770",1.0,8.43,10.22,14.93,22.85,34.50,"17,540","21,260","31,060","47,520","71,770",,
17,IL,Illinois,00-0000,All Occupations,total,"5,765,880",0.3,1000.000,1.00,23.45,"48,780",0.6,9.08,11.03,17.59,29.47,44.63,"18,880","22,940","36,590","61,290","92,830",,
