32,NV,Nevada,00-0000,All Occupations,total,"1,270,930",0.6,1000.000,1.00,21.17,"44,030",0.6,8.86,11.36,16.59,25.43,38.43,"18,420","23,640","34,510","52,890","79,930",,
33,NH,New Hampshire,00-0000,All Occupations,total,"645,050",0.8,1000.000,1.00,24.13,"50,180",0.9,9.32,12.34,18.40,28.87,44.21,"19,380","25,680","38,270","60,060","91,950",,
34,NJ,New Jersey,00-0000,All Occupations,total,"3,955,350",0.4,1000.000,1.00,26.94,"56,030",0.5,9.52,12.43,20.17,33.74,51.29,"19,790","25,850","41,950","70,180","106,690",,
35,NM,New Mexico,00-0000,All Occupations,total,"805,440",0.7,1000.000,1.00,21.23,"44,160",1.8,8.69,10.58,15.82,25.99,40.01,"18,060","22,010","32,900","54,070","83,230",,
36,NY,New York,00-0000,All Occupations,total,"9,097,650",0.3,1000.000,1.00,28.32,"58,910",0.6,9.55,12.52,20.56,34.79,55.17,"19,870","26,050","42,760","72,360","114,750",,
37,NC,North Carolina,00-0000,All Occupations,total,"4,231,020",0.3,1000.000,1.00,21.77,"45,280",0.5,8.62,10.79,16.31,25.66,40.04,"17,940","22,440","33,920","53,380","83,280",,
38,ND,North Dakota,00-0000,All Occupations,total,"425,200",1.1,1000.000,1.00,22.66,"47,130",0.7,10.08,13.43,18.83,27.59,38.33,"20,970","27,920","39,160","57,380","79,720",,
39,OH,Ohio,00-0000,All Occupations,total,"5,337,890",0.5,1000.000,1.00,22.08,"45,930",0.5,9.04,11.18,17.19,27.23,39.29,"18,810","23,260","35,760","56,640","81,720",,
40,OK,Oklahoma,00-0000,All Occupations,total,"1,586,890",0.7,1000.000,1.00,20.56,"42,760",0.5,8.58,10.66,15.93,24.45,37.02,"17,850","22,170","33,140","50,860","77,000",,
41,OR,Oregon,00-0000,All Occupations,total,"1,790,940",0.7,1000.000,1.00,23.90,"49,710",1.4,10.20,12.39,18.26,28.89,44.56,"21,220","25,770","37,990","60,080","92,680",,
