AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,AL,Alabama,00-0000,All Occupations,total,"1,824,400",0.4,1000.000,1.00,19.01,"39,550",0.5,8.24,9.54,14.40,23.12,34.73,"17,150","19,850","29,950","48,090","72,230",,
02,AK,Alaska,00-0000,All Occupations,total,"318,700",1.0,1000.000,1.00,25.02,"52,050",1.4,10.01,14.00,20.92,31.78,43.78,"20,810","29,130","43,510","66,100","91,050",,
04,AZ,Arizona,00-0000,All Occupations,total,"2,414,340",0.6,1000.000,1.00,21.13,"43,950",0.8,8.67,10.79,16.34,25.69,39.56,"18,040","22,430","33,980","53,430","82,280",,
05,AR,Arkansas,00-0000,All Occupations,total,"1,155,020",0.7,1000.000,1.00,17.72,"36,850",1.1,8.21,9.44,13.79,21.08,31.35,"17,070","19,640","28,690","43,840","65,200",,
06,CA,California,00-0000,All Occupations,total,"14,303,630",0.3,1000.000,1.00,25.17,"52,350",0.4,9.04,11.46,18.64,32.09,49.49,"18,800","23,840","38,770","66,740","102,940",,
08,CO,Colorado,00-0000,All Occupations,total,"2,226,160",0.4,1000.000,1.00,23.13,"48,110",0.5,8.88,11.57,17.84,28.52,43.55,"18,470","24,070","37,100","59,330","90,580",,
09,CT,Connecticut,00-0000,All Occupations,total,"1,620,620",0.5,1000.000,1.00,25.85,"53,760",1.0,9.36,12.73,20.20,32.32,46.55,"19,470","26,480","42,030","67,220","96,830",,
10,DE,Delaware,00-0000,All Occupations,total,"405,750",1.4,1000.000,1.00,23.25,"48,350",1.6,8.76,11.38,17.65,28.70,43.94,"18,220","23,670","36,710","59,690","91,400",,
11,DC,District of Columbia,00-0000,All Occupations,total,"653,760",0.7,1000.000,1.00,36.51,"75,950",7.2,11.55,17.64,29.79,49.51,69.56,"24,020","36,690","61,960","102,980","144,680",,
12,FL,Florida,00-0000,All Occupations,total,"7,273,850",0.3,1000.000,1.00,19.68,"40,930",0.4,8.51,10.07,14.72,23.19,35.89,"17,700","20,950","30,620","48,230","74,640",,
13,GA,Georgia,00-0000,All Occupations,total,"3,815,530",0.4,1000.000,1.00,20.82,"43,310",0.5,8.36,10.10,15.48,25.35,38.53,"17,390","21,000","32,190","52,740","80,140",,
