AREA,ST,STATE,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
38,ND,North Dakota,00-0000,All Occupations,total,"371,630",1.4,1000.000,1.00,18.69,"38,870",0.7,8.53,10.64,15.40,22.59,32.06,"17,740","22,130","32,040","47,000","66,680",,
39,OH,Ohio,00-0000,All Occupations,total,"4,977,910",0.4,1000.000,1.00,20.00,"41,590",0.4,8.43,10.27,15.67,24.70,35.87,"17,540","21,350","32,590","51,380","74,610",,
40,OK,Oklahoma,00-0000,All Occupations,total,"1,498,260",0.8,1000.000,1.00,18.36,"38,190",0.6,8.25,9.66,14.26,21.95,32.82,"17,160","20,090","29,660","45,650","68,270",,
41,OR,Oregon,00-0000,All Occupations,total,"1,586,620",0.6,1000.000,1.00,21.29,"44,290",0.5,9.21,11.36,16.90,25.95,38.51,"19,160","23,620","35,140","53,970","80,100",,
42,PA,Pennsylvania,00-0000,All Occupations,total,"5,549,240",0.3,1000.000,1.00,21.19,"44,070",0.4,8.68,11.09,16.71,25.87,38.11,"18,060","23,060","34,750","53,820","79,270",,
44,RI,Rhode Island,00-0000,All Occupations,total,"450,980",1.0,1000.000,1.00,22.78,"47,390",1.4,8.88,11.57,17.72,28.54,42.45,"18,470","24,070","36,870","59,350","88,290",,
45,SC,South Carolina,00-0000,All Occupations,total,"1,772,880",0.5,1000.000,1.00,18.54,"38,560",0.6,8.26,9.72,14.45,22.29,33.41,"17,170","20,220","30,050","46,370","69,500",,
46,SD,South Dakota,00-0000,All Occupations,total,"392,670",0.4,1000.000,1.00,17.01,"35,390",0.5,8.53,10.30,13.78,19.60,28.46,"17,740","21,420","28,660","40,770","59,210",,
47,TN,Tennessee,00-0000,All Occupations,total,"2,602,320",0.4,1000.000,1.00,18.81,"39,130",0.7,8.31,9.92,14.56,22.30,33.60,"17,270","20,620","30,270","46,380","69,880",,
48,TX,Texas,00-0000,All Occupations,total,"10,304,370",0.3,1000.000,1.00,20.72,"43,090",0.4,8.28,9.87,15.44,25.37,38.68,"17,210","20,520","32,120","52,770","80,450",,
49,UT,Utah,00-0000,All Occupations,total,"1,165,980",0.8,1000.000,1.00,19.69,"40,950",0.7,8.55,10.63,15.41,23.99,35.33,"17,780","22,110","32,050","49,900","73,500",,
50,VT,Vermont,00-0000,All Occupations,total,"290,830",1.7,1000.000,1.00,20.71,"43,080",1.6,9.32,11.55,16.36,24.43,35.75,"19,400","24,030","34,030","50,810","74,370",,
51,VA,Virginia,00-0000,All Occupations,total,"3,553,360",0.5,1000.000,1.00,23.50,"48,870",1.2,8.59,11.04,17.45,28.94,47.08,"17,870","22,970","36,300","60,200","97,940",,
53,WA,Washington,00-0000,All Occupations,total,"2,720,660",0.5,1000.000,1.00,24.17,"50,280",1.7,9.70,12.88,19.30,30.55,44.38,"20,170","26,790","40,140","63,550","92,320",,
54,WV,West Virginia,00-0000,All Occupations,total,"700,250",0.7,1000.000,1.00,17.42,"36,220",0.6,8.14,9.23,13.46,21.47,31.05,"16,920","19,200","27,990","44,650","64,580",,
55,WI,Wisconsin,00-0000,All Occupations,total,"2,645,180",0.6,1000.000,1.00,19.92,"41,420",0.5,8.50,10.69,16.04,24.27,35.16,"17,690","22,220","33,350","50,490","73,140",,
56,WY,Wyoming,00-0000,All Occupations,total,"272,570",1.1,1000.000,1.00,20.44,"42,510",0.8,8.86,11.64,17.37,25.92,35.05,"18,430","24,210","36,140","53,900","72,900",,
66,GU,Guam,00-0000,All Occupations,total,"59,560",0.9,1000.000,1.00,15.31,"31,840",2.2,7.94,8.81,11.92,18.08,26.90,"16,520","18,330","24,780","37,610","55,950",,
72,PR,Puerto Rico,00-0000,All Occupations,total,"930,940",1.0,1000.000,1.00,13.07,"27,190",1.2,7.79,8.42,9.54,14.72,21.50,"16,210","17,510","19,850","30,620","44,720",,
78,VI,Virgin Islands,00-0000,All Occupations,total,"43,310",2.3,1000.000,1.00,18.12,"37,690",2.1,8.43,10.14,14.35,22.38,32.67,"17,530","21,100","29,850","46,550","67,960",,
