AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,AL,Alabama,00-0000,All Occupations,total,"1,844,080",0.4,1000.000,1.00,19.35,"40,240",0.5,8.27,9.62,14.61,23.64,35.40,"17,200","20,010","30,390","49,180","73,620",,
02,AK,Alaska,00-0000,All Occupations,total,"322,660",1.4,1000.000,1.00,25.53,"53,110",1.4,10.12,14.15,21.32,32.53,44.63,"21,050","29,420","44,350","67,660","92,820",,
04,AZ,Arizona,00-0000,All Occupations,total,"2,475,660",0.7,1000.000,1.00,21.33,"44,370",0.8,8.76,10.87,16.43,25.91,40.08,"18,220","22,610","34,170","53,900","83,360",,
05,AR,Arkansas,00-0000,All Occupations,total,"1,152,600",0.7,1000.000,1.00,17.95,"37,340",1.1,8.21,9.43,13.90,21.28,31.93,"17,070","19,620","28,910","44,250","66,410",,
06,CA,California,00-0000,All Occupations,total,"14,714,530",0.3,1000.000,1.00,25.49,"53,030",0.4,9.08,11.55,18.71,32.41,50.58,"18,890","24,030","38,920","67,410","105,210",,
08,CO,Colorado,00-0000,All Occupations,total,"2,295,000",0.4,1000.000,1.00,23.53,"48,950",0.5,8.96,11.68,18.04,28.94,44.30,"18,630","24,300","37,530","60,200","92,150",,
09,CT,Connecticut,00-0000,All Occupations,total,"1,635,590",0.5,1000.000,1.00,26.16,"54,410",1.0,9.36,12.69,20.33,32.86,47.39,"19,480","26,400","42,280","68,340","98,580",,
10,DE,Delaware,00-0000,All Occupations,total,"412,140",1.2,1000.000,1.00,23.68,"49,260",1.7,8.85,11.55,17.94,29.10,44.55,"18,400","24,010","37,320","60,530","92,650",,
11,DC,District of Columbia,00-0000,All Occupations,total,"665,850",0.6,1000.000,1.00,37.04,"77,040",7.1,11.55,18.08,30.62,49.98,70.10,"24,030","37,620","63,680","103,950","145,800",,
12,FL,Florida,00-0000,All Occupations,total,"7,453,230",0.3,1000.000,1.00,19.78,"41,140",0.4,8.59,10.09,14.74,23.19,35.92,"17,870","20,990","30,660","48,240","74,720",,
13,GA,Georgia,00-0000,All Occupations,total,"3,879,660",0.3,1000.000,1.00,21.17,"44,040",0.5,8.38,10.12,15.63,25.83,39.95,"17,420","21,050","32,510","53,730","83,090",,
15,HI,Hawaii,00-0000,All Occupations,total,"602,200",1.0,1000.000,1.00,21.84,"45,420",2.0,8.97,11.98,17.75,27.00,39.61,"18,660","24,910","36,910","56,150","82,390",,
16,ID,Idaho,00-0000,All Occupations,total,"613,000",0.8,1000.000,1.00,18.67,"38,840",1.0,8.36,10.01,14.68,22.50,33.87,"17,400","20,810","30,540","46,790","70,440",,
17,IL,Illinois,00-0000,All Occupations,total,"5,704,700",0.5,1000.000,1.00,22.92,"47,680",0.6,9.05,10.90,17.18,28.72,43.46,"18,820","22,670","35,720","59,740","90,400",,
18,IN,Indiana,00-0000,All Occupations,total,"2,854,250",0.6,1000.000,1.00,19.61,"40,780",0.5,8.45,10.33,15.38,23.78,35.17,"17,570","21,490","31,990","49,470","73,140",,
19,IA,Iowa,00-0000,All Occupations,total,"1,491,600",0.9,1000.000,1.00,19.35,"40,240",0.9,8.53,10.60,15.57,23.21,34.03,"17,750","22,040","32,380","48,280","70,790",,
20,KS,Kansas,00-0000,All Occupations,total,"1,336,460",1.0,1000.000,1.00,19.83,"41,240",0.7,8.50,10.46,15.44,24.01,35.59,"17,690","21,760","32,110","49,940","74,030",,
21,KY,Kentucky,00-0000,All Occupations,total,"1,782,820",0.6,1000.000,1.00,19.00,"39,520",0.6,8.40,10.14,15.01,23.08,33.81,"17,470","21,090","31,220","48,000","70,320",,
22,LA,Louisiana,00-0000,All Occupations,total,"1,885,310",0.4,1000.000,1.00,18.99,"39,510",0.4,8.31,9.84,15.03,23.10,34.02,"17,290","20,470","31,260","48,050","70,750",,
23,ME,Maine,00-0000,All Occupations,total,"582,430",0.6,1000.000,1.00,19.92,"41,440",1.0,8.87,11.13,16.06,23.91,34.72,"18,450","23,150","33,400","49,740","72,220",,
24,MD,Maryland,00-0000,All Occupations,total,"2,534,480",0.5,1000.000,1.00,25.41,"52,850",0.5,8.82,11.97,19.57,32.30,49.68,"18,340","24,910","40,710","67,180","103,330",,
25,MA,Massachusetts,00-0000,All Occupations,total,"3,257,870",0.4,1000.000,1.00,27.12,"56,410",0.5,9.60,13.32,21.07,34.02,51.51,"19,970","27,700","43,830","70,750","107,140",,
26,MI,Michigan,00-0000,All Occupations,total,"3,998,790",0.4,1000.000,1.00,21.42,"44,540",0.6,8.68,10.89,16.67,26.88,39.36,"18,060","22,650","34,670","55,910","81,870",,
27,MN,Minnesota,00-0000,All Occupations,total,"2,688,580",0.4,1000.000,1.00,22.77,"47,370",0.8,8.88,11.67,17.98,28.23,42.46,"18,480","24,270","37,390","58,720","88,320",,
28,MS,Mississippi,00-0000,All Occupations,total,"1,083,560",0.6,1000.000,1.00,17.34,"36,070",0.6,8.19,9.34,13.57,20.70,30.37,"17,040","19,420","28,240","43,060","63,180",,
29,MO,Missouri,00-0000,All Occupations,total,"2,639,120",0.5,1000.000,1.00,20.20,"42,020",0.6,8.43,10.27,15.55,24.78,36.79,"17,540","21,350","32,340","51,540","76,530",,
